trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1, 'e': 0.495}",20,6,-160.00340318366187,"{0: 5, 1: 2, 2: 4, 3: 0, 4: 3}",1
2,False,"{'a': 1, 'e': 0.49}",20,0,-89.80710065743021,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 1, 'e': 0.485}",30,0,-216.89224349295378,"{0: 14, 1: 2, 2: 10, 3: 2, 4: 2}",0
4,False,"{'a': 1, 'e': 0.48}",35,0,-170.59120097708822,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 1, 'e': 0.475}",20,0,-121.53440387536165,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 1, 'e': 0.47}",25,0,-129.95196304324176,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 1, 'e': 0.46499999999999997}",20,0,-96.25699573623622,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 1, 'e': 0.45999999999999996}",30,0,-128.15334767521776,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 1, 'e': 0.45499999999999996}",30,0,-141.87644924309504,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 1, 'e': 0.44999999999999996}",20,0,-155.45909886641678,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 3}",0
11,False,"{'a': 1, 'e': 0.44499999999999995}",25,0,-180.82511175679966,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
12,False,"{'a': 1, 'e': 0.43999999999999995}",25,0,-317.699355463271,"{0: 6, 1: 5, 2: 6, 3: 4, 4: 4}",0
13,False,"{'a': 1, 'e': 0.43499999999999994}",20,0,-71.67443595968055,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 1, 'e': 0.42999999999999994}",25,0,-157.6374846482164,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 1, 'e': 0.42499999999999993}",20,0,-119.15050107526147,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 1, 'e': 0.41999999999999993}",20,0,-117.0896332252477,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 1, 'e': 0.4149999999999999}",25,0,-140.081869671746,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
18,False,"{'a': 1, 'e': 0.4099999999999999}",20,0,-81.55601195434855,"{0: 14, 1: 3, 2: 0, 3: 2, 4: 1}",0
19,False,"{'a': 1, 'e': 0.4049999999999999}",20,0,-91.81817252038775,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
20,False,"{'a': 1, 'e': 0.3999999999999999}",20,0,-87.83088901314434,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-142.66719361290475,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-60.12033218811509,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-98.20271344057332,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,0,-220.299841081022,"{0: 18, 1: 0, 2: 8, 3: 0, 4: 4}",0
5,True,"{'a': 0, 'e': 0}",25,0,-46.46732145102451,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-84.29498158237108,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",35,0,-129.21229431383935,"{0: 19, 1: 8, 2: 7, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-44.48509390998058,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,-58.10706666902132,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-91.63431211328513,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
11,True,"{'a': 0, 'e': 0}",20,0,-64.05915909053738,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
12,True,"{'a': 0, 'e': 0}",20,0,-183.67472121977298,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
13,True,"{'a': 0, 'e': 0}",30,0,-200.02999079032938,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
14,True,"{'a': 0, 'e': 0}",30,0,-129.4056077854867,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",0
15,True,"{'a': 0, 'e': 0}",25,12,-69.86069180199316,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
16,True,"{'a': 0, 'e': 0}",25,0,-181.3289745031038,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
17,True,"{'a': 0, 'e': 0}",25,0,-140.7191034887568,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",1
18,True,"{'a': 0, 'e': 0}",30,0,-240.35256109509282,"{0: 13, 1: 4, 2: 9, 3: 1, 4: 3}",0
19,True,"{'a': 0, 'e': 0}",35,0,-119.06343670154504,"{0: 23, 1: 3, 2: 7, 3: 1, 4: 1}",0
20,True,"{'a': 0, 'e': 0}",25,15,-51.54708296386466,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
